Sponsored Brands Campaign Report,Generated by Amazon Advertising
Report period,2026-08-01 - 2026-08-30,Currency: USD

Date,Campaign Name,Ad Group Name,Keyword,Match Type,Impressions,Clicks,Spend,Orders,Sales,Landing Page,Creative,Headline,Placement
2026-08-01,BR-Brand-Defend,BR-Exact-Set,shower curtain,EXACT,8421,57,38.21,4,86.40,Storefront-Home,BR-Creative-A,Soft Linen Shower Curtains,Top of Search
2026-08-01,BR-Brand-Defend,BR-Exact-Set,fabric shower curtain,EXACT,6120,41,29.84,3,62.10,Storefront-Home,BR-Creative-A,Hotel Style Linen,Top of Search
2026-08-01,BR-Brand-Defend,BR-Broad-Set,bathroom curtain, BROAD,5380,22,18.95,1,21.50,Storefront-Home,BR-Creative-B,Waffle Weave Design,Product Pages
2026-08-02,BR-Brand-Defend,BR-Exact-Set,shower curtain,EXACT,9015,63,41.77,5,93.20,Storefront-Home,BR-Creative-A,Soft Linen Shower Curtains,Top of Search
2026-08-02,BR-Brand-Defend,BR-Broad-Set,waterproof curtain, BROAD,4102,17,15.30,1,19.80,Storefront-Home,BR-Creative-B,Waffle Weave Design,Product Pages
2026-08-03,BR-Brand-Defend,BR-Exact-Set,shower curtain,EXACT,7788,52,35.10,4,79.60,Storefront-Home,BR-Creative-A,Soft Linen Shower Curtains,Top of Search
2026-08-03,BR-New-Launch,BR-Exact-Set,shower curtain liner,EXACT,5230,33,24.61,2,44.30,Storefront-New,BR-Creative-C,3-Layer Waterproof,Top of Search
2026-08-04,BR-New-Launch,BR-Broad-Set,linen shower curtain, BROAD,4610,19,16.88,1,22.40,Storefront-New,BR-Creative-C,3-Layer Waterproof,Product Pages
2026-08-05,BR-Brand-Defend,BR-Exact-Set,shower curtain,EXACT,8690,58,39.55,5,88.70,Storefront-Home,BR-Creative-A,Soft Linen Shower Curtains,Top of Search
2026-08-05,BR-Brand-Defend,BR-Broad-Set,bathroom curtain, BROAD,4988,20,17.42,1,20.10,Storefront-Home,BR-Creative-B,Waffle Weave Design,Product Pages
2026-08-06,BR-New-Launch,BR-Exact-Set,shower curtain liner,EXACT,5440,35,25.90,2,46.10,Storefront-New,BR-Creative-C,3-Layer Waterproof,Top of Search
2026-08-07,BR-Brand-Defend,BR-Exact-Set,fabric shower curtain,EXACT,6010,43,31.22,3,64.80,Storefront-Home,BR-Creative-A,Hotel Style Linen,Top of Search
2026-08-08,BR-Brand-Defend,BR-Broad-Set,waterproof curtain, BROAD,4555,18,16.10,1,19.20,Storefront-Home,BR-Creative-B,Waffle Weave Design,Product Pages
2026-08-09,BR-New-Launch,BR-Exact-Set,shower curtain liner,EXACT,5310,34,25.10,2,45.20,Storefront-New,BR-Creative-C,3-Layer Waterproof,Top of Search
2026-08-10,BR-Brand-Defend,BR-Exact-Set,shower curtain,EXACT,8320,55,37.40,4,84.30,Storefront-Home,BR-Creative-A,Soft Linen Shower Curtains,Top of Search
