Product,Entity,Operation,Campaign Name,Ad Group Name,Keyword Text,Match Type,Bid,Daily Budget,State,Targeting Type,SKU,Note
Sponsored Products,Campaign,Create,B0NEW12345 - 自动发现 - Auto,,,,,20.0,enabled,Manual,B0NEW12345,新品期跑词，7 天后提取高转化搜索词转入精准
Sponsored Products,Ad Group,Create,B0NEW12345 - 自动发现 - Auto,自动-紧密匹配,,,0.85,,enabled,Manual,B0NEW12345,初始竞价取类目基准，7 天调整一次
Sponsored Products,Campaign,Create,B0NEW12345 - 核心精准 - Exact,,,,,32.0,enabled,Manual,B0NEW12345,主推核心词，竞价最高，重点监控 ACOS
Sponsored Products,Ad Group,Create,B0NEW12345 - 核心精准 - Exact,核心大词组 词组,,,0.0,,enabled,Manual,B0NEW12345,
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,核心大词组 词组,shower curtain,exact,1.26,,enabled,Manual,B0NEW12345,来源：ABA#7
Sponsored Products,Ad Group,Create,B0NEW12345 - 核心精准 - Exact,属性词组 词组,,,0.0,,enabled,Manual,B0NEW12345,
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,属性词组 词组,shower curtain liner,exact,0.94,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,属性词组 词组,fabric shower curtain,exact,0.94,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,属性词组 词组,waterproof shower curtain,exact,0.94,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,属性词组 词组,clear shower curtain,exact,0.94,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,属性词组 词组,hotel shower curtain,exact,0.94,,enabled,Manual,B0NEW12345,来源：ABA#40
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,属性词组 词组,waffle shower curtain,exact,0.94,,enabled,Manual,B0NEW12345,来源：ABA#45
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,属性词组 词组,black shower curtain,exact,0.94,,enabled,Manual,B0NEW12345,来源：ABA#52
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,属性词组 词组,clear shower liner,exact,0.94,,enabled,Manual,B0NEW12345,来源：ABA#79
Sponsored Products,Ad Group,Create,B0NEW12345 - 核心精准 - Exact,长尾词组 词组,,,0.0,,enabled,Manual,B0NEW12345,
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,长尾词组 词组,shower curtain with hooks,exact,0.94,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,长尾词组 词组,bathroom curtain 72 inch,exact,0.94,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,长尾词组 词组,hotel style shower curtain,exact,0.94,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,长尾词组 词组,mold resistant shower liner,exact,0.94,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,长尾词组 词组,72 inch shower curtain,exact,0.94,,enabled,Manual,B0NEW12345,来源：ABA#67
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,长尾词组 词组,mold resistant shower curtain,exact,0.94,,enabled,Manual,B0NEW12345,来源：ABA#75
Sponsored Products,Keyword,Create,B0NEW12345 - 核心精准 - Exact,长尾词组 词组,peva shower curtain liner,exact,0.94,,enabled,Manual,B0NEW12345,来源：ABA#108
Sponsored Products,Campaign,Create,B0NEW12345 - 词组拓展 - Phrase,,,,,16.0,enabled,Manual,B0NEW12345,承接长尾，出单后转精准
Sponsored Products,Ad Group,Create,B0NEW12345 - 词组拓展 - Phrase,核心大词组 词组,,,0.0,,enabled,Manual,B0NEW12345,
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,核心大词组 词组,shower curtain,phrase,1.03,,enabled,Manual,B0NEW12345,来源：ABA#7
Sponsored Products,Ad Group,Create,B0NEW12345 - 词组拓展 - Phrase,属性词组 词组,,,0.0,,enabled,Manual,B0NEW12345,
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,属性词组 词组,shower curtain liner,phrase,0.77,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,属性词组 词组,fabric shower curtain,phrase,0.77,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,属性词组 词组,waterproof shower curtain,phrase,0.77,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,属性词组 词组,clear shower curtain,phrase,0.77,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,属性词组 词组,hotel shower curtain,phrase,0.77,,enabled,Manual,B0NEW12345,来源：ABA#40
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,属性词组 词组,waffle shower curtain,phrase,0.77,,enabled,Manual,B0NEW12345,来源：ABA#45
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,属性词组 词组,black shower curtain,phrase,0.77,,enabled,Manual,B0NEW12345,来源：ABA#52
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,属性词组 词组,clear shower liner,phrase,0.77,,enabled,Manual,B0NEW12345,来源：ABA#79
Sponsored Products,Ad Group,Create,B0NEW12345 - 词组拓展 - Phrase,长尾词组 词组,,,0.0,,enabled,Manual,B0NEW12345,
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,长尾词组 词组,shower curtain with hooks,phrase,0.77,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,长尾词组 词组,bathroom curtain 72 inch,phrase,0.77,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,长尾词组 词组,hotel style shower curtain,phrase,0.77,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,长尾词组 词组,mold resistant shower liner,phrase,0.77,,enabled,Manual,B0NEW12345,来源：知识库
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,长尾词组 词组,72 inch shower curtain,phrase,0.77,,enabled,Manual,B0NEW12345,来源：ABA#67
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,长尾词组 词组,mold resistant shower curtain,phrase,0.77,,enabled,Manual,B0NEW12345,来源：ABA#75
Sponsored Products,Keyword,Create,B0NEW12345 - 词组拓展 - Phrase,长尾词组 词组,peva shower curtain liner,phrase,0.77,,enabled,Manual,B0NEW12345,来源：ABA#108
Sponsored Products,Campaign,Create,B0NEW12345 - 商品定位 - SD,,,,,12.0,enabled,Manual,B0NEW12345,投放竞品 ASIN 与互补品类，冷启动期先小规模测试
Sponsored Products,Ad Group,Create,B0NEW12345 - 商品定位 - SD,商品定位组,,,0.6,,enabled,Manual,B0NEW12345,按竞品 ASIN 与类目投放
